Model,R2 Score,RMSE,Predicted Output (MW)
Linear Regression,0.9281727033057207,4.606969940960393,477.0572716779131
Decision Tree,0.9296619801221347,4.558959004355033,480.48
Random Forest,0.9622941026653185,3.3379148848988662,480.7616000000005
Support Vector Regression,0.9389481611224011,4.247368995930729,481.9799003716371
